stratum,reading,median,n_low,ev_low,km2_low,km2_low_lo,km2_low_hi,n_high,ev_high,km2_high,km2_high_lo,km2_high_hi,p_logrank
hyposmia,OIS,28.96384971130729,502,61,10.985629325499035,7.983099917200298,15.021746331262886,501,7,0.9466286514606237,0.35525277373528175,2.5099698589692188,1.9109942852644991e-13
hyposmia,UPSIT total,22.0,533,55,9.954245268134231,7.103950674741155,13.859835832340583,470,13,1.8665244536454462,0.8824296389279396,3.926138811513702,1.264081253778297e-08
hyposmia,lower putamen %expected,76.4857980248207,502,54,9.476985955269978,6.70263474983609,13.31497605276174,501,14,2.4515834442092044,1.265800695461805,4.721309437147636,9.508434099734638e-06
hyposmia + no DAT deficit,OIS,29.93176540229726,369,16,3.498951809577122,1.734069907467961,6.994984279414151,369,6,0.9132133639231155,0.2950415633567127,2.8082160695142577,0.011374695858136961
hyposmia + no DAT deficit,UPSIT total,23.0,405,19,3.360285193941237,1.7194017183418508,6.514347595613312,333,3,0.8285905590893483,0.20380122881500373,3.336516718103466,0.0001575725019839582
hyposmia + no DAT deficit,lower putamen %expected,80.97998746717724,369,12,2.4110912511979166,0.9950930628930155,5.7823202838689465,369,10,1.972908245135474,0.8892697326694954,4.347753368929352,0.7362511497457471
