cohort,analyte,key,n,b_UPSIT,se_UPSIT,p_UPSIT,b_OIS,se_OIS,p_OIS,b_OMI,se_OMI,p_OMI,jb_OIS,jp_OIS,jb_OMI,jp_OMI,q_UPSIT,q_OIS,q_OMI
Prodromal,CSF pTau181/ABeta42,pTau181_over_ABeta42_CSF,827,-0.13089137891442473,0.03660917880597475,0.00037014334821566433,0.00404863416107357,0.041550953432909585,0.9224022383599582,-0.12052032648447492,0.03409468156632908,0.0004307693764629357,-0.0341639566775805,0.4247733903849049,-0.1273439678303699,0.00031003833449596484,0.002220860089293986,0.9224022383599582,0.0025846162587776144
Prodromal,CSF pTau181,pTau181_CSF,827,-0.11472799784001098,0.03640876507965944,0.0016854425404612147,-0.011458722840573634,0.04126615672486311,0.78132834677541,-0.10095695558374876,0.03392407082202379,0.003006261121365715,-0.04434248273097451,0.2977276773181491,-0.10981357606826272,0.0017491651323125938,0.005056327621383644,0.9224022383599582,0.009018783364097145
Prodromal,CSF eMTBR-TAU243,eMTBR_TAU243_CSF,827,-0.09631492395250607,0.036476845303462256,0.008436905007928921,-0.024923718914092962,0.04136412115773601,0.5469764088539713,-0.07890205982939551,0.03399811434825134,0.02054270442628686,-0.05522595617478201,0.19555847499968101,-0.08993246012750009,0.010435718873452913,0.016873810015857842,0.9224022383599582,0.04108540885257372
Prodromal,CSF ABeta42,ABeta42_CSF,827,0.043321197049663175,0.037855131254525026,0.2527932655250476,-0.01524205592450245,0.04264262566056864,0.7208554825318628,0.044247802932212706,0.03524326842293715,0.2096553215771098,-0.0021009750498421883,0.9621339436524499,0.0438281706176044,0.22833220751448538,0.37918989828757144,0.9224022383599582,0.31448298236566474
Prodromal,Serum NfL,NfL_serum,275,0.009244372441511065,0.05366442430250063,0.8633601473684802,0.08934889912176941,0.06790696317737469,0.18936431392049155,-0.022837505342231636,0.05139324718110219,0.6571326361305668,0.08593250773603225,0.21736802119338558,-0.011659244660473203,0.8232034173562811,0.8633601473684802,0.9224022383599582,0.7414938525469644
Prodromal,Plasma NfL,NfL_plasma,673,0.013468714266448875,0.03749939623117958,0.719580298830705,-0.005888089936358361,0.0415261421631912,0.8872862602413898,0.011697178223220524,0.03544463364458919,0.7414938525469644,0.0061259440653784,0.887339997824934,0.012936810425228802,0.7233674114272948,0.8633601473684802,0.9224022383599582,0.7414938525469644
PD,CSF pTau181/ABeta42,pTau181_over_ABeta42_CSF,656,-0.14014214296528837,0.03768105093763694,0.00021711848061906183,0.014657738885952475,0.0463717614523176,0.7520301704731873,-0.1408629106651823,0.03679593346131543,0.00014153276057520653,-0.00024127110113566705,0.9958983269434983,-0.1408731581844332,0.00014626444972081176,0.0015198293643334329,0.8583522594108048,0.0009907293240264457
PD,CSF pTau181,pTau181_CSF,656,-0.03133546023451114,0.03756237781521116,0.40446042469076093,-0.022646837484787526,0.045835912978114,0.621406412306108,-0.02484315791595673,0.03670944777365559,0.4988042956194587,-0.034986708828445665,0.45483987406871496,-0.026329150107209758,0.47428512242467025,0.47187049547255444,0.8583522594108048,0.5819383448893686
PD,CSF eMTBR-TAU243,eMTBR_TAU243_CSF,656,-0.06371125168158819,0.03739057389399864,0.08886971865165946,-0.020484497657553016,0.045775515823913586,0.6546579534867283,-0.058745158173159964,0.03654379580386274,0.10842355519264599,-0.027903618404147647,0.5493592169702528,-0.059930309919201084,0.1021654593513184,0.15552200764040408,0.8583522594108048,0.1897412215871305
PD,CSF ABeta42,ABeta42_CSF,656,0.10954487215079713,0.039861237863928735,0.006159199583057807,-0.0382004904083695,0.04890253526620705,0.43498403994041046,0.11698783579905206,0.038905015165447566,0.002739964215625993,-0.035931246737375404,0.46892938003612883,0.11546172620310355,0.003164309515619348,0.021557198540702323,0.8583522594108048,0.009589874754690976
PD,CSF NfL,NfL_CSF,155,-0.004711136887014896,0.06836890422644946,0.9451549447138146,-0.016465671624260433,0.09210055926316575,0.8583522594108048,-0.0019397871362375856,0.06501192639919252,0.9762363899543016,-0.01706613255278079,0.8548387596393994,-0.003428682506587076,0.9584663140329671,0.9451549447138146,0.8583522594108048,0.9762363899543016
PD,Serum NfL,NfL_serum,364,-0.08144274278584653,0.04240814323371781,0.05559292964351034,-0.041464634206597094,0.053266746514851214,0.4368149222554464,-0.07478649640463343,0.041591645317944306,0.07299906275220236,-0.03918193972870344,0.4626705203898148,-0.07540739636371796,0.0709000508753041,0.12971683583485746,0.8583522594108048,0.17033114642180552
PD,Plasma NfL,NfL_plasma,543,-0.043267404400857336,0.03462379924452278,0.21197317088829823,-0.01972758888785346,0.04297447998833068,0.6463744544820775,-0.03851360093537224,0.033796650658495575,0.2549731902207358,-0.027035397077564374,0.5395380356449165,-0.03981105786027294,0.2405219273740509,0.2967624392436175,0.8583522594108048,0.35696246630903006
