site,n_hyp,ev_hyp,c_ups,c_ois,dC
22,34,0,,,
23,29,0,,,
33,115,8,0.7402597402597403,0.9318181818181818,0.19155844155844148
35,53,1,0.7142857142857143,1.0,0.2857142857142857
36,68,6,0.5981735159817352,0.9406392694063926,0.34246575342465746
38,44,2,0.8306451612903226,0.9516129032258065,0.12096774193548387
