site,n_hyp,ev_hyp,c_ups,c_ois,dC
19,68,5,0.7753623188405797,0.927536231884058,0.15217391304347827
26,128,6,0.7176220806794055,0.7940552016985138,0.07643312101910837
28,43,1,0.9666666666666667,0.9333333333333333,-0.033333333333333326
31,33,4,0.5212765957446809,0.574468085106383,0.05319148936170215
67,18,0,,,
