rule,arm,n,r,p,upsit_mean,upsit_sd
A,Hyposmia,1556,0.3577185275570892,3.5198518499268175e-48,21.236503856041132,6.858654100108628
A,RBD,526,0.3121177078517079,2.3877193794933755e-13,22.38212927756654,8.316385663565647
A,Genetic,359,0.22380873931715323,1.8672712422556238e-05,33.030640668523674,5.386374012950802
B,Hyposmia,1556,0.3577185275570892,3.5198518499268175e-48,21.236503856041132,6.858654100108628
B,RBD,520,0.32216209823419684,5.0569504217355666e-14,22.342307692307692,8.313587692990021
B,Genetic,365,0.22271326392335739,1.751727831126925e-05,32.912328767123284,5.512023451417626
