test,cohort,score,r,abs_r,p,n
CSF pTau181/ABeta42,Prodromal,OMI,-0.12236626623766592,0.12236626623766592,0.0004204547528714124,827
CSF pTau181/ABeta42,Prodromal,OIS,0.002920675376272327,0.002920675376272327,0.9331639464562128,827
CSF pTau181/ABeta42,Prodromal,UPSIT,-0.12374685956222523,0.12374685956222523,0.00036109213749960613,827
GBA vs LRRK2 genotype,PD,OMI,-0.349106473625957,0.349106473625957,5.675700777058213e-07,195
GBA vs LRRK2 genotype,PD,OIS,-0.05932806666758368,0.05932806666758368,0.41001289607441843,195
GBA vs LRRK2 genotype,PD,UPSIT,-0.3523676430540049,0.3523676430540049,4.374693498669143e-07,195
