stratum,comparison,n,events,c_a,c_b,dC,lo,hi,p
hyposmia,OIS - UPSIT,1003,68,0.8350642334013687,0.6983131228238684,0.13675111057750033,0.07176303406546798,0.20334995048886226,0.001
hyposmia,OIS - putamen,1003,68,0.8350642334013687,0.7758884620002401,0.05917577140112862,0.010333862910988097,0.1110827402165636,0.014
hyposmia + DAT deficit,OIS - UPSIT,265,46,0.7643600940544172,0.6495633187772926,0.11479677527712462,0.014593915380416048,0.21324506950219796,0.022
hyposmia + no DAT deficit,OIS - putamen,738,22,0.71898197242842,0.5174973488865323,0.20148462354188768,0.07217203620917283,0.344208899671893,0.001
hyposmia + no DAT deficit,OIS - UPSIT,738,22,0.71898197242842,0.6895924859869716,0.029389486441448343,-0.08428725707340748,0.1379696194166478,0.516
non-hyposmia-enriched,OIS - UPSIT,756,84,0.7664575636607076,0.6998214772755449,0.06663608638516272,0.00029842158049915904,0.13394585564280656,0.05
