group,n_pairs,upsit_r,upsit_icc,omi_r,omi_icc
Genetic,144,0.7895153633074785,0.7868479641056754,0.800575105269107,0.7998733035319129
HC,94,0.575162322129037,0.4238359912252593,0.6250502907136538,0.4895006687139636
Hyposmia,998,0.8009061437184468,0.7887995649684649,0.7623730381096792,0.7527540397541347
PD,188,0.6481361031879009,0.5258199420947012,0.6133759174419785,0.4826491328492357
RBD,385,0.850272547138321,0.8478726567151046,0.8319798787403994,0.8295692450574799
