stratum,reading,feasible,cut1,cut2,chi2,p_permutation,n_perm,cut1_boot_lo,cut1_boot_hi,cut2_boot_lo,cut2_boot_hi,p_low_mid,p_mid_high,p_low_high,n_low,frac_low,ev_low,km2_low,km2_low_lo,km2_low_hi,n_mid,frac_mid,ev_mid,km2_mid,km2_mid_lo,km2_mid_hi,n_high,frac_high,ev_high,km2_high,km2_high_lo,km2_high_hi,chi2_unconstrained,cut1_unc,cut2_unc
hyposmia,OIS,True,24.905978947800207,27.236725030417258,123.98883655258626,0.0,1000.0,24.40516056999773,25.358576250115043,27.116366908354557,28.764545637025197,0.00023022010978622766,6.043631171359989e-10,4.725312613306229e-30,151.0,0.15054835493519442,39.0,22.6590232153133,15.661467216407965,32.13200649176533,200.0,0.19940179461615154,19.0,9.644815720158494,5.353506246930961,17.05168648651938,652.0,0.650049850448654,10.0,0.8904393383373677,0.37008200302335315,2.1345703738513855,,,
hyposmia,UPSIT total,True,22.0,28.0,35.54737000338951,0.0,1000.0,13.0,23.0,22.0,28.0,0.0005067570566333937,0.006505913305887716,1.5680911929043732e-07,533.0,0.5314057826520439,55.0,9.954245268134231,7.103950674741155,13.859835832340583,266.0,0.26520438683948155,12.0,3.0788788600503603,1.3591174980348564,6.897310435002724,204.0,0.2033898305084746,1.0,0.5464480874317612,0.07715569975184078,3.8152354951983103,,,
hyposmia,lower putamen %expected,True,55.41202838199487,72.3343915715097,96.27964695187795,0.0,1000.0,53.18683892580648,65.19572754148373,66.65843477920747,92.23885116868259,6.638205523311257e-07,0.00028932344087436807,2.7219970407282683e-22,151.0,0.15054835493519442,32.0,22.852091647729512,15.218368327738963,33.48391990121963,250.0,0.24925224327018944,19.0,6.035020038524608,3.257396426173731,11.04204223589862,602.0,0.6001994017946162,17.0,2.0480412089121214,1.0553140759594903,3.955764533820705,,,
hyposmia + no DAT deficit,OIS,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.86478923757496,26.45946155924973,31.01938496643165
hyposmia + no DAT deficit,UPSIT total,True,17.0,26.0,14.568908767013019,0.019,1000.0,14.0,20.0,19.0,30.0,0.02997317028836695,0.04880258682513629,0.0003392142740173682,227.0,0.3075880758807588,13.0,3.0523247555355293,1.2792657953748843,7.191673531478782,283.0,0.38346883468834686,8.0,2.978030058902459,1.2171857204165248,7.191766791217136,228.0,0.3089430894308943,1.0,0.48780487804883643,0.06885818881011696,3.4118789145204276,,,
hyposmia + no DAT deficit,lower putamen %expected,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.423967116937714,72.85299292835805,79.33492279418063
