reading,cut,chi2,n_low,frac_layer,frac_events,risk2y_low,risk2y_high,p_naive,p_permutation
UPSIT total,23.0,32.875735341219354,592,0.5902293120638086,0.8529411764705882,0.09631106106128762,0.01250548027780185,9.824186280186694e-09,0.0
lowest putamen %expected,52.87208982797759,112.85284315888734,128,0.12761714855433698,0.47058823529411764,0.26730424413177944,0.031056751340385547,2.3239870347265207e-26,0.0
OIS,24.301436400611312,137.89139374965922,121,0.12063808574277168,0.4852941176470588,0.28003003701815343,0.028337659436104,7.69735285061513e-32,0.0
