stratum,reading,n_low,ev_low,km2_low,km2_low_lo,km2_low_hi,n_rest,ev_rest,km2_rest,km2_rest_lo,km2_rest_hi,p_two_group,p_three_group_tertiles,p_middle_vs_highest
hyposmia,OIS,335,56,15.294298662838269,11.00805795532651,21.041180712179287,668,12,1.348568026154351,0.6372879102663709,2.8422753138524826,1.284048591033348e-20,1.347892467897401e-19,0.4217412617562152
hyposmia,UPSIT total,372,41,9.872387729417632,6.613394335209755,14.606980149668193,631,27,3.718031414421896,2.2975506510819033,5.989409636648335,1.1398914709138726e-05,2.048023197788055e-07,1.0087463828597648e-05
hyposmia + no DAT deficit,OIS,246,14,4.639328563996359,2.1988520800669487,9.65142086829227,492,8,0.9588930053383016,0.35999346054160775,2.541359580467306,0.0002467966828238687,0.000768696229824989,0.0867506914590882
hyposmia + no DAT deficit,UPSIT total,254,14,3.6370231107902717,1.6119805608540982,8.099109355081758,484,8,1.441029839392538,0.5898126517424163,3.4989135821223205,0.0019134296149523192,0.00211403021098032,0.0663607773159
